Code,MainCost,Debt,AverageConsume,Target
1169839,196201,454294,8.571428571,Low
11112847,186682,1591469,5.217391304,Low
11128694,641575,479082,1.551724138,Low
11146510,2669441,0,39.62264151,High
1165531,6015958,0,29.41176471,High
115218,4020507,0,31.69811321,High
1151684,1021095,0,20.37735849,High
1125732,911696,282415,18.0,Low
11142906,3532646,0,30.58823529,High
1167215,142187,0,5.0,Low
11148611,260363,289824,16.41509434,Low
118164,0,0,8.210526316,Low
1159973,1134343,0,18.82352941,Low
1134214,119000,102617,0.0,Low
1163621,2394672,0,18.64864865,High
1190171,426432,679707,18.0,Low
11100249,644912,0,18.125,Low
11117760,174054,0,4.468085106,Low
1172226,1191722,0,21.76470588,High
11132403,677274,0,18.0,Low
1171250,76759,95696,0.588235294,Low
1144476,821980,0,18.0,Low
11134551,2089033,0,24.41860465,High
1164528,3832609,0,35.52631579,High
1166177,595735,802501,13.52941176,Low
1188578,4384823,0,29.68421053,High
11123095,2756620,0,24.89361702,High
11107791,53945,0,1.442307692,Low
11108936,149537,0,4.038461538,Low
1120895,426432,0,18.0,Low
1127770,762169,2007680,18.0,Moderate
11152725,145261,0,7.931034483,Low
1149540,269842,0,16.98113208,Low
1139415,1174840,0,29.43396226,High
11117785,161876,0,3.829787234,Low
11153329,58337,0,4.484536082,Low
11135824,242371,833027,15.28301887,Low
